country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Italy,Sparus aurata,37,ITA,380,4182.886,380,Ionian Sea
Italy,Sparus aurata,37,ITA,380,4182.886,380,Adriatic Sea
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Western Mediterranean
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Ionian Sea
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Adriatic Sea
Italy,Mugil cephalus,37,ITA,380,6,380,Ionian Sea
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Central Kuroshio Current
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Chiloense
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,North Sea
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Central Kuroshio Current
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Central Kuroshio Current
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Central Kuroshio Current
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Central Kuroshio Current
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Central Kuroshio Current
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,East China Sea
Japan,Pagrus auratus,61,JPN,392,64378.9,392,East China Sea
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,East China Sea
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,East China Sea
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,East China Sea
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,East China Sea
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,East China Sea
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,East China Sea
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Sea of Japan/East Sea
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Sea of Japan/East Sea
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Sea of Japan/East Sea
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Sea of Japan/East Sea
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Sea of Japan/East Sea
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Sea of Japan/East Sea
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Sea of Japan/East Sea
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Sea of Japan/East Sea
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Northeastern Honshu
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Northeastern Honshu
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Northeastern Honshu
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Northeastern Honshu
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Northeastern Honshu
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Northeastern Honshu
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Northeastern Honshu
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Northeastern Honshu
"Korea, Dem. People's Rep",Salmo salar,61,PRK,408,13.88888889,408,Sea of Japan/East Sea
"Korea, Dem. People's Rep",Takifugu rubripes,61,PRK,408,7.222222222,408,Southern China
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,Yellow Sea
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Yellow Sea
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Yellow Sea
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Yellow Sea
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Yellow Sea
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,Yellow Sea
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,Yellow Sea
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,Yellow Sea
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,East China Sea
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,East China Sea
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,East China Sea
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,East China Sea
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,East China Sea
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,East China Sea
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,East China Sea
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,East China Sea
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,Sea of Japan/East Sea
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Sea of Japan/East Sea
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Sea of Japan/East Sea
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Sea of Japan/East Sea
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Sea of Japan/East Sea
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,Sea of Japan/East Sea
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,Sea of Japan/East Sea
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,Sea of Japan/East Sea
Kuwait,Dicentrarchus labrax,27,KWT,414,0.215,414,Arabian (Persian) Gulf
Kuwait,Sparus aurata,51,KWT,414,18.65,414,Arabian (Persian) Gulf
Kuwait,Lates calcarifer,51,KWT,414,0.25,414,Arabian (Persian) Gulf
Libya,Dicentrarchus labrax,37,LBY,434,32,434,Tunisian Plateau/Gulf of Sidra
Libya,Sparus aurata,37,LBY,434,21,434,Tunisian Plateau/Gulf of Sidra
Malta,Dicentrarchus labrax,37,MLT,470,88.9612,470,Ionian Sea
Malta,Sparus aurata,37,MLT,470,1990.7813,470,Ionian Sea
Malta,Thunnus thynnus,37,MLT,470,1630.8,470,Ionian Sea
Martinique,Rachycentron canadum,31,MTQ,474,10.125,474,Eastern Caribbean
Martinique,Sciaenops ocellatus,31,MTQ,474,44.81,474,Eastern Caribbean
Mauritius,Dicentrarchus labrax,51,MUS,480,118.8333333,480,Mascarene Islands
Mauritius,Sciaenops ocellatus,51,MUS,480,413.55,480,Mascarene Islands
Mexico,Sciaenops ocellatus,31,MEX,484,147.262375,484,Southern Gulf of Mexico
Mexico,Thunnus orientalis,77,MEX,484,4511.347181,484,Southern California Bight
Montenegro,Dicentrarchus labrax,37,MNE,499,56.9,499,Adriatic Sea
Montenegro,Sparus aurata,37,MNE,499,50,499,Adriatic Sea
Morocco,Thunnus thynnus,34,MAR,504,70,504,Alboran Sea
Morocco,Dicentrarchus labrax,37,MAR,504,100.77,504,Alboran Sea
Morocco,Sparus aurata,37,MAR,504,17.485,504,Alboran Sea
Oman,Sparus aurata,51,OMN,512,34,512,Gulf of Oman
Oman,Sparus aurata,51,OMN,512,34,512,Western Arabian Sea
Bonaire/S.Eustatius/Saba,Rachycentron canadum,31,BES,535,0.116666667,535,Southern Caribbean
New Zealand,Oncorhynchus tshawytscha,81,NZL,554,11113.7,554,Central New Zealand
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Northern Norway and Finnmark
Norway,Salmo salar,27,NOR,578,1054496.75,578,Northern Norway and Finnmark
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Southern Norway
Norway,Salmo salar,27,NOR,578,1054496.75,578,Southern Norway
Norway,Gadus morhua,27,NOR,578,10223.552,578,Northern Norway and Finnmark
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Northern Norway and Finnmark
Norway,Gadus morhua,27,NOR,578,10223.552,578,Southern Norway
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Southern Norway
Palau,Chanos chanos,71,PLW,585,18.29,585,West Caroline Islands
