country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,East China Sea,3,4.7777777766666665
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,Sea of Japan/East Sea,3,513.1666666666666
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Sea of Japan/East Sea,3,599.4
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Sea of Japan/East Sea,3,1852.2666666666667
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Sea of Japan/East Sea,3,1828.0666666666666
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Sea of Japan/East Sea,3,14327.800000000001
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,Sea of Japan/East Sea,3,8269.266666666666
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,Sea of Japan/East Sea,3,62.4
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,Sea of Japan/East Sea,3,4.7777777766666665
Kuwait,Dicentrarchus labrax,27,KWT,414,0.215,414,Arabian (Persian) Gulf,1,0.215
Kuwait,Sparus aurata,51,KWT,414,18.65,414,Arabian (Persian) Gulf,1,18.65
Kuwait,Lates calcarifer,51,KWT,414,0.25,414,Arabian (Persian) Gulf,1,0.25
Libya,Dicentrarchus labrax,37,LBY,434,32,434,Tunisian Plateau/Gulf of Sidra,1,32
Libya,Sparus aurata,37,LBY,434,21,434,Tunisian Plateau/Gulf of Sidra,1,21
Malta,Dicentrarchus labrax,37,MLT,470,88.9612,470,Ionian Sea,1,88.9612
Malta,Sparus aurata,37,MLT,470,1990.7813,470,Ionian Sea,1,1990.7813
Malta,Thunnus thynnus,37,MLT,470,1630.8,470,Ionian Sea,1,1630.8
Martinique,Rachycentron canadum,31,MTQ,474,10.125,474,Eastern Caribbean,1,10.125
Martinique,Sciaenops ocellatus,31,MTQ,474,44.81,474,Eastern Caribbean,1,44.81
Mauritius,Dicentrarchus labrax,51,MUS,480,118.8333333,480,Mascarene Islands,1,118.8333333
Mauritius,Sciaenops ocellatus,51,MUS,480,413.55,480,Mascarene Islands,1,413.55
Mexico,Sciaenops ocellatus,31,MEX,484,147.262375,484,Southern Gulf of Mexico,1,147.262375
Mexico,Thunnus orientalis,77,MEX,484,4511.347181,484,Southern California Bight,1,4511.347181
Montenegro,Dicentrarchus labrax,37,MNE,499,56.9,499,Adriatic Sea,1,56.9
Montenegro,Sparus aurata,37,MNE,499,50,499,Adriatic Sea,1,50
Morocco,Thunnus thynnus,34,MAR,504,70,504,Alboran Sea,1,70
Morocco,Dicentrarchus labrax,37,MAR,504,100.77,504,Alboran Sea,1,100.77
Morocco,Sparus aurata,37,MAR,504,17.485,504,Alboran Sea,1,17.485
Oman,Sparus aurata,51,OMN,512,34,512,Gulf of Oman,2,17
Oman,Sparus aurata,51,OMN,512,34,512,Western Arabian Sea,2,17
Bonaire/S.Eustatius/Saba,Rachycentron canadum,31,BES,535,0.116666667,535,Southern Caribbean,1,0.116666667
New Zealand,Oncorhynchus tshawytscha,81,NZL,554,11113.7,554,Central New Zealand,1,11113.7
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Northern Norway and Finnmark,2,36261.7745
Norway,Salmo salar,27,NOR,578,1054496.75,578,Northern Norway and Finnmark,2,527248.375
Norway,Oncorhynchus mykiss,27,NOR,578,72523.549,578,Southern Norway,2,36261.7745
Norway,Salmo salar,27,NOR,578,1054496.75,578,Southern Norway,2,527248.375
Norway,Gadus morhua,27,NOR,578,10223.552,578,Northern Norway and Finnmark,2,5111.776
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Northern Norway and Finnmark,2,846.3805
Norway,Gadus morhua,27,NOR,578,10223.552,578,Southern Norway,2,5111.776
Norway,Hippoglossus hippoglossus,27,NOR,578,1692.761,578,Southern Norway,2,846.3805
Palau,Chanos chanos,71,PLW,585,18.29,585,West Caroline Islands,1,18.29
Panama,Rachycentron canadum,31,PAN,591,562.9,591,Southwestern Caribbean,1,562.9
Philippines,Chanos chanos,71,PHL,608,102289,608,Eastern Philippines,2,51144.5
Philippines,Trachinotus blochii,71,PHL,608,202.6666667,608,Eastern Philippines,2,101.33333335
Philippines,Chanos chanos,71,PHL,608,102289,608,Sulawesi Sea/Makassar Strait,2,51144.5
Philippines,Trachinotus blochii,71,PHL,608,202.6666667,608,Sulawesi Sea/Makassar Strait,2,101.33333335
Portugal,Argyrosomus regius,27,PRT,620,27.6746,620,South European Atlantic Shelf,1,27.6746
Portugal,Dicentrarchus labrax,27,PRT,620,360.0343,620,South European Atlantic Shelf,1,360.0343
Portugal,Scophthalmus maximus,27,PRT,620,2245.2021,620,South European Atlantic Shelf,1,2245.2021
Portugal,Sparus aurata,27,PRT,620,977.2208,620,South European Atlantic Shelf,1,977.2208
Portugal,Thunnus thynnus,27,PRT,620,25,620,South European Atlantic Shelf,1,25
Puerto Rico,Rachycentron canadum,31,PRI,630,11,630,Greater Antilles,1,11
Reunion,Sciaenops ocellatus,51,REU,638,50,638,Mascarene Islands,1,50
Romania,Scophthalmus maximus,37,ROU,642,6.175555556,642,Black Sea,1,6.175555556
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Black Sea,4,2234.275
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,White Sea,4,2234.275
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Okhotsk,4,2234.275
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Japan/East Sea,4,2234.275
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Northern and Central Red Sea,2,150
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Southern Red Sea,2,150
Saudi Arabia,Sparus aurata,51,SAU,682,1487.8,682,Northern and Central Red Sea,2,743.9
