ECOREGION,Species,status
Exmouth to Broome,Mugil cephalus,Native
Exmouth to Broome,Pseudocaranx dentex,Native
Exmouth to Broome,Rachycentron canadum,Native
Exmouth to Broome,Thunnus maccoyii,Native
Exmouth to Broome,Trachinotus blochii,Native
Faroe Plateau,Gadus morhua,Native
Faroe Plateau,Hippoglossus hippoglossus,Native
Faroe Plateau,Salmo salar,Native
Faroe Plateau,Scophthalmus maximus,Native
Faroe Plateau,Thunnus thynnus,Native
Fernando de Naronha and Atoll das Rocas,Pseudocaranx dentex,Native
Fernando de Naronha and Atoll das Rocas,Rachycentron canadum,Native
Fernando de Naronha and Atoll das Rocas,Thunnus thynnus,Native
Fiji Islands,Chanos chanos,Native
Fiji Islands,Mugil cephalus,Native
Fiji Islands,Thunnus orientalis,Native
Fiji Islands,Trachinotus blochii,Native
Floridian,Mugil cephalus,Native
Floridian,Pagrus pagrus,Native
Floridian,Pseudocaranx dentex,Native
Floridian,Rachycentron canadum,Native
Floridian,Sciaenops ocellatus,Native
Floridian,Thunnus thynnus,Native
Gilbert/Ellis Islands,Chanos chanos,Native
Gilbert/Ellis Islands,Thunnus orientalis,Native
Gilbert/Ellis Islands,Trachinotus blochii,Native
Great Australian Bight,Chanos chanos,Native
Great Australian Bight,Pseudocaranx dentex,Native
Great Australian Bight,Rachycentron canadum,Native
Great Australian Bight,Thunnus maccoyii,Native
Great Australian Bight,Trachinotus blochii,Native
Greater Antilles,Mugil cephalus,Native
Greater Antilles,Pagrus pagrus,Native
Greater Antilles,Rachycentron canadum,Native
Greater Antilles,Thunnus thynnus,Native
Guayaquil,Chanos chanos,Native
Guayaquil,Mugil cephalus,Native
Guayaquil,Thunnus orientalis,Native
Guianan,Mugil cephalus,Native
Guianan,Rachycentron canadum,Native
Guianan,Thunnus thynnus,Native
Gulf of Aden,Chanos chanos,Native
Gulf of Aden,Rachycentron canadum,Native
Gulf of Aden,Trachinotus blochii,Native
Gulf of Alaska,Oncorhynchus kisutch,Native
Gulf of Alaska,Oncorhynchus mykiss,Native
Gulf of Alaska,Oncorhynchus tshawytscha,Native
Gulf of Alaska,Thunnus orientalis,Native
Gulf of Guinea Central,Argyrosomus regius,Native
Gulf of Guinea Central,Mugil cephalus,Native
Gulf of Guinea Central,Pagrus pagrus,Native
Gulf of Guinea Central,Rachycentron canadum,Native
Gulf of Guinea Central,Thunnus thynnus,Native
Gulf of Guinea Islands,Pagrus pagrus,Native
Gulf of Guinea Islands,Thunnus thynnus,Native
Gulf of Guinea South,Argyrosomus regius,Native
Gulf of Guinea South,Mugil cephalus,Native
Gulf of Guinea South,Pagrus pagrus,Native
Gulf of Guinea South,Rachycentron canadum,Native
Gulf of Guinea South,Thunnus thynnus,Native
Gulf of Guinea Upwelling,Argyrosomus regius,Native
Gulf of Guinea Upwelling,Pagrus pagrus,Native
Gulf of Guinea Upwelling,Rachycentron canadum,Native
Gulf of Guinea Upwelling,Thunnus thynnus,Native
Gulf of Guinea West,Argyrosomus regius,Native
Gulf of Guinea West,Mugil cephalus,Native
Gulf of Guinea West,Pagrus pagrus,Native
Gulf of Guinea West,Rachycentron canadum,Native
Gulf of Guinea West,Thunnus thynnus,Native
Gulf of Maine/Bay of Fundy,Gadus morhua,Native
Gulf of Maine/Bay of Fundy,Hippoglossus hippoglossus,Native
Gulf of Maine/Bay of Fundy,Mugil cephalus,Native
Gulf of Maine/Bay of Fundy,Salmo salar,Native
Gulf of Maine/Bay of Fundy,Thunnus thynnus,Native
Gulf of Oman,Chanos chanos,Native
Gulf of Oman,Rachycentron canadum,Native
Gulf of Papua,Lates calcarifer,Native
Gulf of St. Lawrence - Eastern Scotian Shelf,Gadus morhua,Native
Gulf of St. Lawrence - Eastern Scotian Shelf,Hippoglossus hippoglossus,Native
Gulf of St. Lawrence - Eastern Scotian Shelf,Salmo salar,Native
Gulf of St. Lawrence - Eastern Scotian Shelf,Thunnus thynnus,Native
Gulf of Thailand,Chanos chanos,Native
Gulf of Thailand,Lates calcarifer,Native
Gulf of Thailand,Rachycentron canadum,Native
Gulf of Thailand,Trachinotus blochii,Native
Gulf of Tonkin,Acanthopagrus schlegelii,Native
Gulf of Tonkin,Chanos chanos,Native
Gulf of Tonkin,Larimichthys crocea,Native
Gulf of Tonkin,Lateolabrax japonicus,Native
Gulf of Tonkin,Lates calcarifer,Native
Gulf of Tonkin,Pagrus auratus,Native
Gulf of Tonkin,Paralichthys olivaceus,Native
Gulf of Tonkin,Rachycentron canadum,Native
Gulf of Tonkin,Trachinotus blochii,Native
Halmahera,Rachycentron canadum,Native
Halmahera,Thunnus orientalis,Native
Hawaii,Chanos chanos,Native
Hawaii,Mugil cephalus,Native
Hawaii,Pseudocaranx dentex,Native
Hawaii,Seriola quinqueradiata,Native
Hawaii,Thunnus orientalis,Native
Houtman,Mugil cephalus,Native
Houtman,Pseudocaranx dentex,Native
Houtman,Rachycentron canadum,Native
Houtman,Thunnus maccoyii,Native
Hudson Complex,Salmo salar,Native
Humboldtian,Mugil cephalus,Native
Humboldtian,Thunnus orientalis,Native
Ionian Sea,Argyrosomus regius,Native
Ionian Sea,Dicentrarchus labrax,Native
Ionian Sea,Mugil cephalus,Native
Ionian Sea,Pseudocaranx dentex,Native
Ionian Sea,Scophthalmus maximus,Native
Ionian Sea,Sparus aurata,Native
Ionian Sea,Thunnus thynnus,Native
Juan Fernandez and Desventuradas,Pseudocaranx dentex,Native
Juan Fernandez and Desventuradas,Thunnus maccoyii,Native
Juan Fernandez and Desventuradas,Thunnus orientalis,Native
Kamchatka Shelf and Coast,Acanthopagrus schlegelii,Native
Kamchatka Shelf and Coast,Lateolabrax japonicus,Native
Kamchatka Shelf and Coast,Oncorhynchus kisutch,Native
Kamchatka Shelf and Coast,Oncorhynchus mykiss,Native
Kamchatka Shelf and Coast,Oncorhynchus tshawytscha,Native
Kamchatka Shelf and Coast,Thunnus orientalis,Native
Kerguelen Islands,Thunnus maccoyii,Native
Kermadec Island,Pseudocaranx dentex,Native
Kermadec Island,Thunnus maccoyii,Native
Kermadec Island,Thunnus orientalis,Native
Leeuwin,Chanos chanos,Native
Leeuwin,Mugil cephalus,Native
Leeuwin,Pseudocaranx dentex,Native
Leeuwin,Rachycentron canadum,Native
Leeuwin,Thunnus maccoyii,Native
Lesser Sunda,Chanos chanos,Native
Lesser Sunda,Lates calcarifer,Native
Lesser Sunda,Rachycentron canadum,Native
Lesser Sunda,Thunnus maccoyii,Native
Levantine Sea,Argyrosomus regius,Native
Levantine Sea,Dicentrarchus labrax,Native
Levantine Sea,Mugil cephalus,Native
Levantine Sea,Pagrus pagrus,Native
Levantine Sea,Pseudocaranx dentex,Native
Levantine Sea,Scophthalmus maximus,Native
Levantine Sea,Sparus aurata,Native
Levantine Sea,Thunnus thynnus,Native
Line Islands,Chanos chanos,Native
Line Islands,Pseudocaranx dentex,Native
Line Islands,Thunnus orientalis,Native
Line Islands,Trachinotus blochii,Native
Lord Howe and Norfolk Islands,Chanos chanos,Native
Lord Howe and Norfolk Islands,Mugil cephalus,Native
Lord Howe and Norfolk Islands,Pseudocaranx dentex,Native
Lord Howe and Norfolk Islands,Thunnus maccoyii,Native
Lord Howe and Norfolk Islands,Thunnus orientalis,Native
Lord Howe and Norfolk Islands,Trachinotus blochii,Native
Magdalena Transition,Chanos chanos,Native
Magdalena Transition,Mugil cephalus,Native
Magdalena Transition,Thunnus orientalis,Native
Malacca Strait,Lates calcarifer,Native
Malacca Strait,Rachycentron canadum,Native
Malacca Strait,Trachinotus blochii,Native
Maldives,Chanos chanos,Native
Maldives,Rachycentron canadum,Native
Maldives,Trachinotus blochii,Native
Malvinas/Falklands,Thunnus maccoyii,Native
Manning-Hawkesbury,Chanos chanos,Native
Manning-Hawkesbury,Mugil cephalus,Native
Manning-Hawkesbury,Pseudocaranx dentex,Native
Manning-Hawkesbury,Thunnus maccoyii,Native
Manning-Hawkesbury,Thunnus orientalis,Native
Manning-Hawkesbury,Trachinotus blochii,Native
Mariana Islands,Chanos chanos,Native
Mariana Islands,Lates calcarifer,Native
Mariana Islands,Thunnus orientalis,Native
Mariana Islands,Trachinotus blochii,Native
Marquesas,Chanos chanos,Native
Marquesas,Thunnus orientalis,Native
Marshall Islands,Chanos chanos,Native
Marshall Islands,Mugil cephalus,Native
Marshall Islands,Thunnus orientalis,Native
Marshall Islands,Trachinotus blochii,Native
Mascarene Islands,Chanos chanos,Native
Mascarene Islands,Mugil cephalus,Native
Mascarene Islands,Pseudocaranx dentex,Native
Mascarene Islands,Rachycentron canadum,Native
Mascarene Islands,Thunnus maccoyii,Native
Mascarene Islands,Trachinotus blochii,Native
Mexican Tropical Pacific,Chanos chanos,Native
Mexican Tropical Pacific,Mugil cephalus,Native
Mexican Tropical Pacific,Thunnus orientalis,Native
Namaqua,Mugil cephalus,Native
Namaqua,Pseudocaranx dentex,Native
Namaqua,Thunnus maccoyii,Native
Namaqua,Thunnus thynnus,Native
Namib,Mugil cephalus,Native
Namib,Pagrus pagrus,Native
Namib,Pseudocaranx dentex,Native
Namib,Rachycentron canadum,Native
Namib,Thunnus maccoyii,Native
