Species,DISEASE,AGENT,TYPE,Source,Source_1,souce,Soure,type
Pagrus pagrus,Nematode infestation,Raphidascaris sp.,Nematoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Nematode infestation,Terranova sp.,Nematoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Paralichthys olivaceus,Flatworm infection,Bivagina tai,Monogenea,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Parasites
Paralichthys olivaceus,Edwardsiellosis,Edwardsiella tarda,Bacteria,https://www.fishbase.se/summary/Paralichthys-olivaceus.html,"NA","NA","NA",Bacteria
Paralichthys olivaceus,Viral epidermal hyperplasia,Flounder herpesvirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Paralichthys olivaceus,Rhabdoviral infection,Hirame rhabdovirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Paralichthys olivaceus,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,https://www.cabi.org/ISC/datasheet/79273,"NA","NA","NA",Virus
Paralichthys olivaceus,Lymphocystis,Iridovirus,Virus,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Virus
Paralichthys olivaceus,Streptococcicosis,Lactococcus garvieae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Lymphocystis disease,Lymphocystis disease virus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Paralichthys olivaceus,Flatworm infection,Neoheterobothrium hirame,Monogenea,"Anshary, H., K. Ogawa, M. Higuchi and T. Fujii (2001): A study of long-term change in summer infection levels of Japanese flounder aralicthys olivaceus with the monogenean Neoheterobothrium hirame in the central Sea of Japan, with an application of a new technique for collecting small parasites from the gill filaments. Fish Pathol., 36, 27–32.",NA,NA,NA,Parasites
Paralichthys olivaceus,Nocardiosis,Nocardia asteroides,Bacteria,http://www.fao.org/fi/static-media/MeetingDocuments/WorkshopAMR/presentations/07_Haenen.pdf,NA,NA,NA,Bacteria
Paralichthys olivaceus,Myxosporidiosis,Parvicapsula sp.,Myxozoa,https://www.fishbase.se/summary/Paralichthys-olivaceus.html,"NA","NA","NA",Others
Paralichthys olivaceus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Viral nervous necrosis,Piscine nodavirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Paralichthys olivaceus,Pseudomonas infection,Pseudomonas sp.,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Scuticociliatosis,Scuticociliatida,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Paralichthys olivaceus,Streptococcosis,Streptococcus iniae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Streptococcosis,Streptococcus parauberis,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Trichodinosis,Trichodina sp.,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Paralichthys olivaceus,Vibriosis,Vibrio anguillarum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Vibriosis,Vibrio harveyi,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Vibriosis,Vibrio ichthyoenteri,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Paralichthys olivaceus,Viral Haemorrhagic Septicaemia,Viral hemorrhagic septicemia virus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Paralichthys olivaceus,Birnavirus infection,YAV,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Pseudocaranx dentex,Flatworm infection,Benedenia seriolae,Monogenea,"Madinabeitia, I., et al. ""Homogeneity among Lactococcus garvieae isolates from striped jack, Pseudocaranx dentex (Bloch & Schneider), and its ectoparasites."" Journal of fish diseases 32.10 (2009): 901.",NA,NA,NA,Parasites
Pseudocaranx dentex,Sealice,Caligus longipedis,Copepoda,"Madinabeitia, I., et al. ""Homogeneity among Lactococcus garvieae isolates from striped jack, Pseudocaranx dentex (Bloch & Schneider), and its ectoparasites."" Journal of fish diseases 32.10 (2009): 901.",NA,NA,NA,Parasites
Pseudocaranx dentex,Fungal infection,Exophiala xenobiotica,Fungi,"Munchan, C., Kurata, O., Wada, S., Hatai, K., Sano, A., Kamei, K., & Nakaoka, N. (2009). Exophiala xenobiotica infection in cultured striped jack, Pseudocaranx dentex (Bloch & Schneider), in Japan. Journal of fish diseases, 32(10), 893-900.",NA,NA,NA,Fungi
Pseudocaranx dentex,Streptococcicosis,Lactococcus garvieae,Bacteria,"Madinabeitia, I., et al. ""Homogeneity among Lactococcus garvieae isolates from striped jack, Pseudocaranx dentex (Bloch & Schneider), and its ectoparasites."" Journal of fish diseases 32.10 (2009): 901.",NA,NA,NA,Bacteria
Pseudocaranx dentex,Fungal infection,Ochroconis humicola,Fungi,"Munchan, Chutharat. ""Mass mortality of young striped jack Pseudocaranx dentex caused by a fungus Ochroconis humicola."" 魚病研究 41.4 (2006): 179-182.",NA,NA,NA,Fungi
Pseudocaranx dentex,Viral nervous necrosis,Piscine nodavirus,Virus,"Arimoto, M., et al. ""Pathogenicity of the causative agent of viral nervous necrosis disease in striped jack, Pseudocaranx dentex (Bloch & Schneider)."" Journal of Fish Diseases 16.5 (1993): 461-469.",NA,NA,NA,Virus
Pseudocaranx dentex,Streptococcosis,Streptococcus dysgalactiae,Bacteria,"Minami, Takayuki, et al. ""Isolation of Streptococcus dysgalactiae from farmed striped jack Pseudocaranx dentex."" NIPPON SUISAN GAKKAISHI 84.3 (2018): 434-436.",NA,NA,NA,Bacteria
Rachycentron canadum,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D9,"NA","NA","NA",Others
Rachycentron canadum,Nematode infestation,Anisakis simplex,Nematoda,Seafoodwatch,Shih et al. 2010,"NA","NA",Parasites
Rachycentron canadum,Viral Encephalopathy and Retinopathy,Betanodavirus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=346,"NA","NA","NA",Virus
Rachycentron canadum,Coccidiosis,Coccidia spp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D15,"NA","NA","NA",Others
Rachycentron canadum,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D10,"NA","NA","NA",Others
Rachycentron canadum,Red sore disease,Epistylis sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D11,"NA","NA","NA",Others
Rachycentron canadum,Lymphocystis,Iridovirus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=346,"NA","NA","NA",Virus
Rachycentron canadum,Flatworm infection,Neobenedenia sp.,Monogenea,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D13,"NA","NA","NA",Parasites
Rachycentron canadum,Photobacterium infection,Photobacterium damselae subsp piscicida,Bacteria,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D17,"NA","NA","NA",Bacteria
Rachycentron canadum,Viral nervous necrosis,Piscine nodavirus,Virus,"NA","NA","NA","NA",Virus
Rachycentron canadum,Myxosporidiosis,Sphaerospora sp.,Myxozoa,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D14,"NA","NA","NA",Others
Rachycentron canadum,Streptococcosis,Streptococcus dysgalactiae,Bacteria,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D19,"NA","NA","NA",Bacteria
Rachycentron canadum,Trichodinosis,Trichodina sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D12,"NA","NA","NA",Others
Rachycentron canadum,Vibriosis,Vibrio alginolyticus,Bacteria,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,"NA","NA","NA",Bacteria
Rachycentron canadum,Vibriosis,Vibrio parahaemolyticus,Bacteria,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,"NA","NA","NA",Bacteria
Rachycentron canadum,Vibriosis,Vibrio vulnificus,Bacteria,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,"NA","NA","NA",Bacteria
Rachycentron canadum,protozoan infections,Vorticella,Ciliophora,(Liao et al. 2004) (Benetti et al. 2008) (Nhu et al. 2011).,"NA","NA","NA",Others
Salmo salar,Furunculosis,Aeromonas salmonicida,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A4,"NA","NA","NA",Bacteria
Salmo salar,Vibriosis,Aliivibrio salmonicida,Bacteria,http://www.fao.org/fi/static-media/MeetingDocuments/WorkshopAMR/presentations/07_Haenen.pdf,NA,NA,NA,Bacteria
Salmo salar,Nematode infestation,Anisakis simplex,Nematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,NA,Aquatic birnavirus,Virus,"Crane, Mark St J., et al. ""First isolation of an aquatic birnavirus from farmed and wild fish species in Australia."" Diseases of Aquatic Organisms 43.1 (2000): 1-14.",NA,NA,NA,Virus
Salmo salar,Viral Encephalopathy and Retinopathy,Betanodavirus,Virus,"NA","NA","NA","NA",Virus
Salmo salar,Trematode infection,Brachyphallus crenatus,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Sealice,Caligus clemensis,Copepoda,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,"NA","NA","NA",Parasites
Salmo salar,Sealice,Caligus elongatus,Copepoda,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,"NA","NA","NA",Parasites
Salmo salar,Sealice,Caligus rogercresseyi,Copepoda,"Mancilla‐Schulz, Jorge, Sandra L. Marín, and Carlos Molinet. ""Dynamics of Caligus rogercresseyi (Boxshall & Bravo, 2000) in farmed Atlantic salmon (Salmo salar) in southern Chile: Are we controlling sea lice?."" Journal of fish diseases (2019).","NA","NA","NA",Parasites
Salmo salar,NA,Chloromyxum sp.,Ciliophora,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Others
Salmo salar,Trematode infection,Crepidostomum farionis,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Trematode infection,Crepidostomum metoecus,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Flatworm infection,Derogens varicus,Digenea,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Tapeworms,Diphillobothrium sp.,Cestoda,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,"NA","NA","NA",Parasites
Salmo salar,Trematode infection,Diplostomum sp.,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,NA,Discocotyle sagittata,Monogenea,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Acanthocephala infection,Echinorhynchus gadi,Acanthocephala,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Tapeworms,Eubothrium sp.,Cestoda,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,"NA","NA","NA",Parasites
Salmo salar,Columnaris ,Flavobacterium columnare,Bacteria,https://en.wikipedia.org/wiki/Columnaris,"NA","NA","NA",Bacteria
Salmo salar,Flatworm infection,Gyrodactylus salaris,Monogenea,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=504,"NA","NA","NA",Parasites
Salmo salar,Trematode infection,Hemiurus levinseni,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Myxosporidiosis,Henneguya salminicola ,Myxozoa,https://en.wikipedia.org/wiki/Columnaris,"NA","NA","NA",Others
Salmo salar,Nematode infestation,Hysterothylacium aduncum,Nematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Freshwater protozoa,Ichthyobodo necator,Ciliophora,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A13,"NA","NA","NA",Others
Salmo salar,Freshwater protozoa,Ichthyophthirius multifilis,Ciliophora,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A15,"NA","NA","NA",Others
Salmo salar,Infective Haematopoietic Necrosis,Infectious haematopoietic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,"NA","NA","NA",Virus
Salmo salar,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A2,"NA","NA","NA",Virus
Salmo salar,Myxosporidiosis,Kudoa thyrsites,Myxozoa,"Di Cicco, E., Ferguson, H.W., Schulze, A.D., Kaukinen, K.H., Li, S., Vanderstichel, R., Wessel, Ã˜., Rimstad, E., Gardner, I.A., Hammell, K.L., Miller, K.M., 2017. Heart and skeletal muscle inflammation (HSMI) disease diagnosed on a British Columbia salmon farm through a longitudinal farm study. PLOS ONE. 12, e0171471.","NA","NA","NA",Others
Salmo salar,Trematode infection,Lecithaster gibbosus,Trematoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Sealice,Lepeophtheirus salmonis,Copepoda,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A10,"NA","NA","NA",Parasites
Salmo salar,Winter sores,Moritella viscose,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A6,"NA","NA","NA",Bacteria
Salmo salar,Whirling disease,Myxobolus cerebralis,Myxozoa,https://en.wikipedia.org/wiki/Myxobolus_cerebralis,"NA","NA","NA",Others
Salmo salar,Amoebic gill disease,Neoparamoeba pemaquidensis,Amoebozoa,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,"NA","NA","NA",Others
Salmo salar,"NA",Paranucleospora theridion,Microsporidia,"Di Cicco, E., Ferguson, H.W., Schulze, A.D., Kaukinen, K.H., Li, S., Vanderstichel, R., Wessel, Ã˜., Rimstad, E., Gardner, I.A., Hammell, K.L., Miller, K.M., 2017. Heart and skeletal muscle inflammation (HSMI) disease diagnosed on a British Columbia salmon farm through a longitudinal farm study. PLOS ONE. 12, e0171471.","NA","NA","NA",Others
Salmo salar,Cardiomyopathy syndrome,Piscine myocarditis virus,Virus,"Garseth, Åse Helen, Eirik Biering, and Torstein Tengs. ""Piscine myocarditis virus (PMCV) in wild Atlantic salmon Salmo salar."" Diseases of aquatic organisms 102.2 (2012): 157-161.","NA","NA","NA",Virus
Salmo salar,Heart and Skeletal Muscle Inflammation ,Piscine reovirus,Virus,"Garseth Ã…H, Fritsvold C, Svendsen JC, Jensen BB, Mikalsen AB. Cardiomyopathy syndrome in Atlantic salmon Salmo salar L.: A review of the current state of knowledge. J Fish Dis. 2018;41:11€“26. https://doi.org/10.1111/jfd.12735",Seawatch,"NA","NA",Virus
Salmo salar,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A8,"NA","NA","NA",Bacteria
Salmo salar,NA,Proteocephalus sp.,Cestoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,"NA","NA","NA",Bacteria
Salmo salar,Sealice,Salmincola salmoneus,Copepoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Pancreatic disease,Salmon Alpha Virus,Virus,"NA","NA","NA","NA",Virus
Salmo salar,Infectious Salmon Anaemia,Salmon isavirus,Virus,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A0,"NA","NA","NA",Virus
Salmo salar,Saprolegniasis,Saprolegnia sp.,Fungi,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A9,"NA","NA","NA",Fungi
Salmo salar,NA,Scolex pleuronectis,Cestoda,"Bristow, G. A. (1993). Parasites of Norwegian freshwater salmonids and interactions with farmed salmon—a review. Fisheries Research, 17(1-2), 219–227. doi:10.1016/0165-7836(93)90021-x ",NA,NA,NA,Parasites
Salmo salar,Gliding bacterial disease,Tenacibaculum finnmarkense,Bacteria,Hjeltnes et al. 2016,Seawatch,"NA","NA",Bacteria
Salmo salar,Trichodinosis,Trichodina sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A14,"NA","NA","NA",Others
Salmo salar,Vibriosis,Vibrio anguillarum,Bacteria,"NA","NA","NA","NA",Bacteria
Salmo salar,Viral Haemorrhagic Septicaemia,Viral hemorrhagic septicemia virus,Virus,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A1,"NA","NA","NA",Virus
Salmo salar,Enteric redmouth disease,Yersinia ruckeri,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A7,"NA","NA","NA",Bacteria
Sciaenops ocellatus,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D15,"NA","NA","NA",Others
Sciaenops ocellatus,Viral Encephalopathy and Retinopathy,Betanodavirus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=315,"NA","NA","NA",Virus
Sciaenops ocellatus,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,"NA","NA","NA",Others
Sciaenops ocellatus,Myxosporidiosis,Enteromyxum leei,Myxozoa,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.","NA","NA","NA",Others
Sciaenops ocellatus,Lymphocystis,Iridovirus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=315,"NA","NA","NA",Virus
Sciaenops ocellatus,Myxosporidiosis,Myxidium leei,Myxozoa,http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D10,"NA","NA","NA",Others
Sciaenops ocellatus,Isopodiasis,Nerocila sp.,Isopoda,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,"NA","NA","NA",Parasites
Sciaenops ocellatus,"NA",Piscicola sp.,Clitellata,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,"NA","NA","NA",Parasites
Sciaenops ocellatus,Vibriosis,Vibrio harveyi,Bacteria,"Liu, P‐C., W‐H. Chuang, and K‐K. Lee. ""Infectious gastroenteritis caused by Vibrio harveyi (V. carchariae) in cultured red drum, Sciaenops ocellatus."" Journal of Applied Ichthyology 19.1 (2003): 59-61.","NA","NA","NA",Bacteria
Scophthalmus maximus,Furunculosis,Aeromonas salmonicida,Bacteria,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Bacteria
Scophthalmus maximus,Viral Encephalopathy and Retinopathy,Betanodavirus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=374,"NA","NA","NA",Virus
Scophthalmus maximus,Myxosporidiosis,Enteromysum scophthalmi,Myxozoa,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Others
Scophthalmus maximus,Infectious Haematopoietic Necrosis,Infectious haematopoietic necrosis virus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=376,"NA","NA","NA",Virus
Scophthalmus maximus,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=375,"NA","NA","NA",Virus
Scophthalmus maximus,Amoebic gill disease,Neoparamoeba pemaquidensis,Amoebozoa,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Others
Scophthalmus maximus,Scuticociliatosis,Philasteridis dicentrarchi,Ciliophora,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Others
Scophthalmus maximus,Streptococcosis,Streptococcus parauberis,Bacteria,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Bacteria
Scophthalmus maximus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Bacteria
Scophthalmus maximus,Microsporidiosis,Tetramicra brevifilum,Microsporidia,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Others
Scophthalmus maximus,Trichodinosis,Trichodina sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Others
Scophthalmus maximus,Vibriosis,Vibrio anguillarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,"NA","NA","NA",Bacteria
Scophthalmus maximus,Viral Haemorrhagic Septicaemia,Viral hemorrhagic septicemia virus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=373,"NA","NA","NA",Virus
Scophthalmus maximus,Enteric redmouth disease,Yersinia ruckeri,Bacteria,https://www.fishbase.de/Diseases/diseasessummary.php?stockcode=1366&diseasesrefno=48849&discode=11&locality=not+specified&id=1348,"NA","NA","NA",Bacteria
Sebastes schlegelii,Sealice,Allela macrotrachelus,Copepoda,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Parasites
Sebastes schlegelii,Edwardsiellosis,Edwardsiella tarda,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Streptococcicosis,Lactococcus garvieae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Lymphocystis disease,Lymphocystis disease virus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Sebastes schlegelii,Flatworm infection,Microcotyle sebastis,Monogenea,"Kim, C.S., J.B. Cho, K.J. Ahn, J.I. Lee and K.H. Kim, 2002. Treatment of Microcotyle sebastis (Monogenea:Polyopisthocotylea) infestation with praziquantel under commercial rockfish (Sebastes schlegeli) culture conditions. J. Fish. Sci. Technol. 5(2):141-143.","NA","NA","NA",Parasites
Sebastes schlegelii,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Viral nervous necrosis,Piscine nodavirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Sebastes schlegelii,Pseudomonas infection,Pseudomonas sp.,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Scuticociliatosis,Scuticociliatida,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Sebastes schlegelii,Streptococcosis,Streptococcus iniae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Streptococcosis,Streptococcus parauberis,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Sebastes schlegelii,Trichodinosis,Trichodina sp.,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Sebastes schlegelii,Vibriosis,Vibrio anguillarum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
