ECOREGION,Species,country_name,ecoreg_ratio
Sea of Japan/East Sea,Seriola quinqueradiata,Japan,0.004888951933473562
Sea of Japan/East Sea,Trachurus japonicus,Japan,0.0023562676720075403
Sea of Okhotsk,Salmo salar,Russian Federation,0.014084507042253521
Society Islands,Lates calcarifer,French Polynesia (France),1
South and West Iceland,Dicentrarchus labrax,Iceland,1
South and West Iceland,Gadus morhua,Iceland,1
South and West Iceland,Hippoglossus hippoglossus,Iceland,1
South and West Iceland,Salmo salar,Iceland,1
South and West Iceland,Scophthalmus maximus,Iceland,1
South Australian Gulfs,Lates calcarifer,Australia,0.13920832828955335
South Australian Gulfs,Oncorhynchus mykiss,Australia,0.010878502308519387
South Australian Gulfs,Salmo salar,Australia,0.00356834685181006
South Australian Gulfs,Thunnus maccoyii,Australia,1
South European Atlantic Shelf,Dicentrarchus labrax,Spain,0.3896113184683244
South European Atlantic Shelf,Oncorhynchus mykiss,France,0.02576338854059449
South European Atlantic Shelf,Salmo salar,France,0.0023359971675886294
South European Atlantic Shelf,Scophthalmus maximus,France,0.97631734590995
South European Atlantic Shelf,Sparus aurata,Portugal,1
South European Atlantic Shelf,Thunnus thynnus,Spain,0.514678558156819
South Kuroshio,Acanthopagrus schlegelii,Taiwan,1
South Kuroshio,Chanos chanos,Taiwan,0.17061322307804414
South Kuroshio,Lateolabrax japonicus,Taiwan,1
South Kuroshio,Pagrus auratus,Japan,0.0012834458760178703
South Kuroshio,Pagrus pagrus,Taiwan,0.5
South Kuroshio,Rachycentron canadum,Taiwan,1
South Kuroshio,Seriola quinqueradiata,Japan,2.1139823204483694e-5
South New Zealand,Oncorhynchus tshawytscha,New Zealand,0.1763762081216335
Southern California Bight,Thunnus orientalis,Mexico,1
Southern Caribbean,Rachycentron canadum,Netherlands Antilles,1
Southern China,Acanthopagrus schlegelii,Hong Kong (China),1
Southern China,Chanos chanos,Taiwan,0.7925156665785057
Southern China,Larimichthys crocea,China,0.11007319953948447
Southern China,Lateolabrax japonicus,China,0.3774826102290064
Southern China,Lates calcarifer,Hong Kong (China),1
Southern China,Pagrus auratus,Hong Kong (China),1
Southern China,Pagrus pagrus,Taiwan,0.5
Southern China,Rachycentron canadum,China,0.7171584703423279
Southern China,Sciaenops ocellatus,China,0.4636596228336124
Southern China,Trachinotus blochii,Hong Kong (China),1
Southern Java,Chanos chanos,Indonesia,0.31217603794932053
Southern Java,Lates calcarifer,Indonesia,0.24399254645249766
Southern Norway,Gadus morhua,Norway,0.5395903791121728
Southern Norway,Hippoglossus hippoglossus,Norway,0.8220559531554977
Southern Norway,Oncorhynchus mykiss,Norway,0.8073610090654653
Southern Norway,Salmo salar,Norway,0.6443066759380351
Southern Red Sea,Dicentrarchus labrax,Saudi Arabia,1
Southern Red Sea,Mugil cephalus,Saudi Arabia,1
Southern Vietnam,Rachycentron canadum,Viet Nam,1
Sulawesi Sea/Makassar Strait,Chanos chanos,Philippines,0.06496104258265505
Sunda Shelf/Java Sea,Chanos chanos,Indonesia,0.28627435454249095
Sunda Shelf/Java Sea,Lates calcarifer,Indonesia,0.49614860483358453
Tunisian Plateau/Gulf of Sidra,Dicentrarchus labrax,Tunisia,1
Tunisian Plateau/Gulf of Sidra,Sparus aurata,Tunisia,1
Tunisian Plateau/Gulf of Sidra,Thunnus thynnus,Libya,1
Tweed-Moreton,Lates calcarifer,Australia,0.7624984868659969
Tweed-Moreton,Oncorhynchus mykiss,Australia,0.4836126747201316
Western and Northern Madagascar,Sciaenops ocellatus,Mayotte (France),1
Western Caribbean,Rachycentron canadum,Belize,1
Western Mediterranean,Argyrosomus regius,France,1
Western Mediterranean,Dicentrarchus labrax,France,0.9907231544633971
Western Mediterranean,Sparus aurata,Algeria,1
Western Mediterranean,Thunnus thynnus,Italy,1
Western Sumatra,Chanos chanos,Indonesia,0.0275558381478546
Western Sumatra,Lates calcarifer,Indonesia,0.03617150064684448
White Sea,Salmo salar,Russian Federation,0.4225352112676056
Yellow Sea,Acanthopagrus schlegelii,Korea (South),0.40508979227050756
Yellow Sea,Larimichthys crocea,China,0.0020381620366631994
Yellow Sea,Lateolabrax japonicus,China,0.2122058274047978
Yellow Sea,Pagrus auratus,Korea (South),1
Yellow Sea,Paralichthys olivaceus,Korea (South),1
Yellow Sea,Rachycentron canadum,China,5.635923776532927e-5
Yellow Sea,Sciaenops ocellatus,China,0.06366070067521445
Yellow Sea,Sebastes schlegelii,Korea (South),0.3333333333333333
