PROVINCE,ECOREGION,REALM,n_total,n_introduced,n_native,prod_total,prod_native,prod_introduced,Genetic,Invasive,Diseases,Overall
Sunda Shelf,Sunda Shelf/Java Sea,Central Indo-Pacific,2,1,1,314.70078573,291.4602143,23.24057143,17.530523583395546,19.22822389966114,39.63976813388805,76.39851561694474
Mediterranean Sea,Tunisian Plateau/Gulf of Sidra,Temperate Northern Atlantic,4,0,4,397.6,397.6,0,36.00426988808181,0,56.53871767581195,92.54298756389376
Tropical Northwestern Pacific,West Caroline Islands,Central Indo-Pacific,1,0,1,18.29,18.29,0,12.656107881261983,0,11.730765038756036,24.38687292001802
Western Indian Ocean,Western and Northern Madagascar,Western Indo-Pacific,2,1,1,88.92,4,84.92,9.333010169641339,33.860810163474824,18.51666314649011,61.710483479606275
Somali/Arabian,Western Arabian Sea,Western Indo-Pacific,1,1,0,17,0,17,0,23.085913539551047,20.443466294662787,43.529379834213834
Tropical Northwestern Atlantic,Western Caribbean,Tropical Atlantic,1,0,1,121.6714286,121.6714286,0,16.133738643307964,0,15.208990782909188,31.342729426217154
Mediterranean Sea,Western Mediterranean,Temperate Northern Atlantic,5,0,5,18347.9179833,18347.9179833,0,51.542589212632016,0,74.8179321476388,126.36052136027081
Andaman,Western Sumatra,Western Indo-Pacific,2,2,0,314.70078573,0,314.70078573,0,38.16678732417183,39.63976813388805,77.80655545805988
Arctic,White Sea,Arctic,1,0,1,2234.275,2234.275,0,20.430147478886006,0,34.733350148113026,55.16349762699903
Cold Temperate Northwest Pacific,Yellow Sea,Temperate Northern Pacific,14,3,11,130983.372416477,69201.615744477,61781.756672,81.45485772291823,79.9188456817306,73.83142284780803,235.20512625245686
