REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Central Indo-Pacific,South China Sea,Southern China,China,Lateolabrax japonicus,115693.8,3,43672.39761,Native
Central Indo-Pacific,South China Sea,Gulf of Tonkin,China,Lateolabrax japonicus,115693.8,3,10468.43285,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,"Korea, Republic of",Lateolabrax japonicus,1798.2,3,599.4,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,"Korea, Republic of",Lateolabrax japonicus,1798.2,3,599.4,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Republic of",Lateolabrax japonicus,1798.2,3,599.4,Native
Central Indo-Pacific,Western Coral Triangle,Palawan/North Borneo,Brunei Darussalam,Lates calcarifer,48.23,1,48.23,Native
Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,Myanmar,Lates calcarifer,165.1542294,2,82.5771147,Native
Western Indo-Pacific,Bay of Bengal,Northern Bay of Bengal,Myanmar,Lates calcarifer,165.1542294,2,82.5771147,Native
Central Indo-Pacific,Sunda Shelf,Gulf of Thailand,Cambodia,Lates calcarifer,147.7777778,1,147.7777778,Native
Western Indo-Pacific,West and South Indian Shelf,South India and Sri Lanka,Sri Lanka,Lates calcarifer,11.647,1,11.647,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Taiwan Province of China,Lates calcarifer,0.666666667,3,0.222222222,Native
Central Indo-Pacific,South China Sea,Southern China,Taiwan Province of China,Lates calcarifer,0.666666667,3,0.222222222,Native
Central Indo-Pacific,South Kuroshio,South Kuroshio,Taiwan Province of China,Lates calcarifer,0.666666667,3,0.222222222,Native
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Native
Western Indo-Pacific,Andaman,Western Sumatra,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Introduced
Central Indo-Pacific,Sunda Shelf,Sunda Shelf/Java Sea,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Native
Central Indo-Pacific,Java Transitional,Southern Java,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Native
Central Indo-Pacific,Western Coral Triangle,Sulawesi Sea/Makassar Strait,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Introduced
Central Indo-Pacific,Western Coral Triangle,Lesser Sunda,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Native
Central Indo-Pacific,Western Coral Triangle,Banda Sea,Indonesia,Lates calcarifer,2040.2215,7,291.4602143,Introduced
Western Indo-Pacific,Somali/Arabian,Arabian (Persian) Gulf,Kuwait,Lates calcarifer,0.25,1,0.25,Introduced
Western Indo-Pacific,Red Sea and Gulf of Aden,Southern Red Sea,Saudi Arabia,Lates calcarifer,1207,2,603.5,Introduced
Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,Saudi Arabia,Lates calcarifer,1207,2,603.5,Introduced
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Singapore,Lates calcarifer,440.8723,1,440.8723,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Greece,Mugil cephalus,47.68222222,2,47.68222222,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Italy,Mugil cephalus,6,1,6,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,"Korea, Republic of",Mugil cephalus,5556.8,3,1852.266667,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,"Korea, Republic of",Mugil cephalus,5556.8,3,1852.266667,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Republic of",Mugil cephalus,5556.8,3,1852.266667,Introduced
Western Indo-Pacific,Red Sea and Gulf of Aden,Southern Red Sea,Saudi Arabia,Mugil cephalus,38.2,2,19.1,Native
Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,Saudi Arabia,Mugil cephalus,38.2,2,19.1,Native
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Singapore,Mugil cephalus,416.594,1,416.594,Introduced
Temperate South America,Magellanic,Chiloense,Chile,Oncorhynchus kisutch,126122.1,2,63061.05,Introduced
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Northeastern Honshu,Japan,Oncorhynchus kisutch,11891.8,4,11853.91273,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,Japan,Oncorhynchus kisutch,11891.8,4,37.88159628,Introduced
Temperate Northern Pacific,Cold Temperate Northeast Pacific,North American Pacific Fijordland,Canada,Oncorhynchus mykiss,200,5,40,Native
Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Canada,Oncorhynchus mykiss,200,5,40,Native
