Mapping parameters for Pagrus pagrus (Red porgy),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 277),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pagrus,pagrus,4.25,6.25,1000:246:1,12,27.94,31.48,1092,0,22
Pagrus,pagrus,4.25,5.25,1000:245:1,385,27.95,33.63,825,0,96
Pagrus,pagrus,4.25,8.25,1000:248:1,31,27.89,30.54,2107,0,83
Pagrus,pagrus,4.25,8.75,1000:248:2,110,27.89,30.54,2447,0,27
Pagrus,pagrus,4.25,7.75,1000:247:2,31,27.92,30.54,1516,0,83
Pagrus,pagrus,4.75,-8.25,7000:248:3,50,27.88,34.74,1187,0,8
Pagrus,pagrus,4.75,-9.25,7000:249:3,349,28,34.74,756,0,51
Pagrus,pagrus,4.75,5.75,1000:245:4,30,27.95,33.63,955,0,6
Pagrus,pagrus,4.75,-1.75,7000:141:4,43,27.38,34.68,1087,0,24
Pagrus,pagrus,4.75,-2.25,7000:142:3,118,27.38,34.68,1309,0,22
Pagrus,pagrus,4.75,-5.75,7000:245:4,972,27.48,34.58,1404,0,51
Pagrus,pagrus,4.75,-2.75,7000:142:4,452,27.38,34.68,1144,0,51
Pagrus,pagrus,4.75,-6.75,7000:246:4,124,27.56,34.58,1469,0,13
Pagrus,pagrus,4.75,-7.25,7000:247:3,2,27.69,34.59,1035,0,2
Pagrus,pagrus,5.25,-0.25,7000:350:1,604,27.1,34.79,935,0,27
Pagrus,pagrus,5.25,-1.25,7000:351:1,27,27.27,34.68,868,0,9
Pagrus,pagrus,5.25,-4.25,7000:354:1,292,27.46,34.63,1251,0,14
Pagrus,pagrus,5.25,-3.25,7000:353:1,85,27.42,34.68,1192,0,9
Pagrus,pagrus,5.25,-4.75,7000:354:2,92,27.46,34.63,1310,0,11
Pagrus,pagrus,5.25,-9.75,7000:459:2,386,27.96,34.2,931,0,27
Pagrus,pagrus,5.25,-5.25,7000:455:1,26,27.51,34.58,1454,0,9
Pagrus,pagrus,5.25,4.25,1000:354:1,1123,27.89,33.25,876,0,129
Pagrus,pagrus,5.25,0.25,1000:350:1,2171,27.27,34.86,888,0,84
Pagrus,pagrus,5.25,5.25,1000:455:1,67,27.95,33.25,1553,0,24
Pagrus,pagrus,5.75,1.25,1000:351:3,1177,27.45,35.09,946,0,51
Pagrus,pagrus,5.75,-10.25,7001:350:3,310,28.01,34.2,1069,0,27
Pagrus,pagrus,5.75,4.75,1000:354:4,166,27.89,33.25,1982,0,27
Pagrus,pagrus,6.25,1.75,1000:361:2,193,27.48,35.09,848,0,16
Pagrus,pagrus,6.25,-10.75,7001:360:2,170,27.95,34.2,1281,0,21
Pagrus,pagrus,6.25,2.25,1000:362:1,449,27.58,34.77,965,0,20
Pagrus,pagrus,6.25,3.75,1000:363:2,437,27.69,34.15,1542,0,26
Pagrus,pagrus,6.25,4.25,1000:364:1,194,27.83,33.25,1741,0,23
Pagrus,pagrus,6.25,2.75,1000:362:2,373,27.58,34.77,1064,0,23
Pagrus,pagrus,6.75,-11.25,7001:361:3,101,27.96,33.88,1295,0,15
Pagrus,pagrus,7.25,-11.75,7001:371:2,22,27.87,33.88,1311,0,8
Pagrus,pagrus,7.25,-12.75,7001:372:2,683,27.91,33.83,1111,0,96
Pagrus,pagrus,7.75,-13.25,7001:373:3,203,27.87,33.83,1200,0,96
Pagrus,pagrus,7.75,-13.75,7001:373:4,175,27.87,33.83,1188,0,133
Pagrus,pagrus,8.75,-13.75,7001:383:4,46,27.6,34.15,1024,0,96
Pagrus,pagrus,9.75,-14.25,7001:394:3,79,27.24,33.75,1670,0,84
Pagrus,pagrus,10.25,-14.75,7101:104:2,15,26.89,34.36,1760,0,27
Pagrus,pagrus,10.25,-15.75,7101:205:2,110,26.66,34.36,1813,0,133
Pagrus,pagrus,10.75,-16.25,7101:206:3,8,26.58,34.7,2330,0,110
Pagrus,pagrus,10.75,-16.75,7101:206:4,79,26.58,34.7,1687,0,133
Pagrus,pagrus,11.25,-60.75,7106:110:2,137,27.64,34.13,1216,0,26
Pagrus,pagrus,11.25,-62.75,7106:112:2,81,27.38,34.43,1662,0,97
Pagrus,pagrus,11.75,-16.25,7101:216:3,6,26.05,34.66,1484,0,24
Pagrus,pagrus,12.25,-17.25,7101:227:1,316,25.5,35.11,1877,0,109
Pagrus,pagrus,12.25,-72.75,7107:122:2,505,27.07,36.02,643,0,84
Pagrus,pagrus,12.25,-70.75,7107:120:2,53,27.18,36.06,511,0,109
Pagrus,pagrus,14.75,-17.25,7101:247:3,66,24.51,35.68,2415,0,19
Pagrus,pagrus,15.25,-25.25,7102:455:1,4249,24.77,36.08,739,0,161
Pagrus,pagrus,22.25,-85.25,7208:225:1,2048,27.56,36,288,0,103
Pagrus,pagrus,23.25,-16.25,7201:236:1,77,19.96,36.43,1907,0,22
Pagrus,pagrus,24.25,-16.25,7201:246:1,75,20.38,36.63,1654,0,90
Pagrus,pagrus,26.25,-82.75,7208:362:2,29,25.44,35.86,816,0,124
Pagrus,pagrus,27.75,-84.25,7208:374:3,83,25.03,35.65,442,0,179
Pagrus,pagrus,28.25,-14.25,7201:384:1,874,20.47,36.54,592,0,21
Pagrus,pagrus,28.25,-15.25,7201:485:1,2156,20.76,36.52,376,0,23
Pagrus,pagrus,28.25,-15.75,7201:485:2,2125,20.76,36.52,374,0,21
Pagrus,pagrus,28.25,-84.25,7208:384:1,47,24.3,35.38,639,0,171
