Mapping parameters for Argyrosomus regius (Meagre),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 133),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Argyrosomus,regius,38.25,0.75,1300:380:2,1122,19.15,37.5,393,0,114
Argyrosomus,regius,38.25,-0.25,7300:380:1,224,18.93,37.5,429,0,21
Argyrosomus,regius,38.75,0.25,1300:380:3,129,19.15,37.5,410,0,18
Argyrosomus,regius,38.75,-0.25,7300:380:3,26,18.93,37.5,263,0,2
Argyrosomus,regius,39.75,12.75,1301:392:4,3382,19.19,37.85,365,0,183
Argyrosomus,regius,40.25,-10.75,7401:100:2,4784,16.74,35.82,512,0,182
Argyrosomus,regius,40.75,-8.75,7400:208:4,29,16.28,35.68,1611,0,14
Argyrosomus,regius,40.75,19.25,1401:209:3,133,18.65,38.34,596,0,19
Argyrosomus,regius,40.75,14.25,1401:104:3,285,19.35,37.95,531,0,15
Argyrosomus,regius,40.75,1.25,1400:101:3,157,18.89,37.81,526,0,63
Argyrosomus,regius,41.25,18.75,1401:218:2,589,18.43,38.34,462,0,84
Argyrosomus,regius,41.25,1.75,1400:111:2,270,18.36,37.81,694,0,11
Argyrosomus,regius,41.75,6.25,1400:216:3,2618,17.86,37.95,542,0,202
Argyrosomus,regius,41.75,2.75,1400:112:4,162,17.98,38.08,538,0,8
Argyrosomus,regius,42.25,-12.25,7401:122:1,4503,16.09,35.78,557,0,293
Argyrosomus,regius,42.75,17.75,1401:227:4,116,18.39,38.08,390,0,15
Argyrosomus,regius,42.75,17.25,1401:227:3,93,18.39,38.08,315,0,20
Argyrosomus,regius,43.25,16.25,1401:236:1,68,18.16,38.08,321,0,19
Argyrosomus,regius,43.25,4.25,1400:134:1,71,16.5,37.95,863,0,48
Argyrosomus,regius,43.75,34.25,1403:134:3,2159,14.63,18.29,729,0,96
Argyrosomus,regius,43.75,30.25,1403:130:3,470,14.54,18.03,814,0,141
Argyrosomus,regius,43.75,-6.75,7400:236:4,144,15.62,35.68,670,0,16
Argyrosomus,regius,43.75,15.25,1401:235:3,31,17.75,38.02,337,0,20
Argyrosomus,regius,43.75,7.75,1400:237:4,1425,17.31,38.13,532,0,14
Argyrosomus,regius,43.75,7.25,1400:237:3,725,17.31,38.13,602,0,8
Argyrosomus,regius,44.25,28.75,1402:248:2,55,14.23,17.57,1777,0,13
Argyrosomus,regius,44.75,-1.25,7400:141:3,50,16.07,35.09,1167,0,14
