Mapping parameters for Oncorhynchus kisutch (Coho salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 349),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,kisutch,52.75,-132.75,7513:122:4,2337,10.14,32.04,752,0,67
Oncorhynchus,kisutch,52.75,-132.25,7513:122:3,1334,10.14,32.04,874,0,14
Oncorhynchus,kisutch,52.75,-131.75,7513:121:4,207,10.07,31.87,1048,0,10
Oncorhynchus,kisutch,52.75,-173.25,7517:123:3,1408,5.95,32.88,539,0.00070583,89
Oncorhynchus,kisutch,52.75,-172.75,7517:122:4,1270,5.98,32.84,535,0.00080333,89
Oncorhynchus,kisutch,52.75,-170.75,7517:120:4,463,6.12,32.75,559,0.00153833,16
Oncorhynchus,kisutch,52.75,-168.75,7516:228:4,881,6.36,32.5,849,0.02,17
Oncorhynchus,kisutch,53.25,-132.75,7513:132:2,550,9.8,32.09,931,0,15
Oncorhynchus,kisutch,53.25,-132.25,7513:132:1,17,9.8,32.04,1124,0,4
Oncorhynchus,kisutch,53.25,-131.25,7513:131:1,31,9.67,31.87,1062,0,67
Oncorhynchus,kisutch,53.25,-167.75,7516:237:2,246,6.38,32.56,813,0.04,14
Oncorhynchus,kisutch,53.75,-132.75,7513:132:4,12,9.8,32.09,1288,0,3
Oncorhynchus,kisutch,53.75,-132.25,7513:132:3,11,9.8,31.17,1343,0,4
Oncorhynchus,kisutch,53.75,-131.75,7513:131:4,19,9.67,31.17,1344,0,12
Oncorhynchus,kisutch,53.75,-164.75,7516:134:4,491,6.64,32.18,816,0.00176167,89
Oncorhynchus,kisutch,53.75,-164.25,7516:134:3,796,6.64,32.18,843,0.00047,89
Oncorhynchus,kisutch,53.75,-163.75,7516:133:4,1183,6.72,32.2,1087,0.00048417,97
Oncorhynchus,kisutch,53.75,-167.25,7516:237:3,388,6.38,32.56,731,0.07,15
Oncorhynchus,kisutch,53.75,-166.75,7516:236:4,9,6.5,32.31,793,0.03,5
Oncorhynchus,kisutch,54.25,-130.25,7513:140:1,24,9.33,31.17,1627,0,8
Oncorhynchus,kisutch,54.25,-161.25,7516:141:1,706,6.55,31.97,988,0.00081667,118
Oncorhynchus,kisutch,54.25,-160.75,7516:140:2,965,6.68,32.04,939,0.00065083,118
Oncorhynchus,kisutch,54.25,-160.25,7516:140:1,1096,6.68,32.04,984,0.00045667,97
Oncorhynchus,kisutch,54.25,-166.75,7516:246:2,817,6.2,32.31,744,0.05,16
Oncorhynchus,kisutch,54.25,-166.25,7516:246:1,493,6.2,32.31,729,0.01,16
Oncorhynchus,kisutch,54.25,-165.75,7516:245:2,162,6.26,32.02,780,0.01,14
Oncorhynchus,kisutch,54.25,-132.25,7513:142:1,168,9.45,31.17,1525,0,14
Oncorhynchus,kisutch,54.25,-131.75,7513:141:2,135,9.31,31.17,1580,0,15
Oncorhynchus,kisutch,54.25,-131.25,7513:141:1,74,9.31,31.17,1581,0,65
Oncorhynchus,kisutch,54.25,-130.75,7513:140:2,45,9.33,31.17,1604,0,15
Oncorhynchus,kisutch,54.25,-162.75,7516:142:2,146,6.43,31.92,1238,0.00208167,15
Oncorhynchus,kisutch,54.75,-160.75,7516:140:4,82,6.68,32.04,990,0.00758167,88
Oncorhynchus,kisutch,54.75,-158.75,7515:248:4,173,6.91,32.06,1056,0.00063583,64
Oncorhynchus,kisutch,54.75,-160.25,7516:140:3,80,6.68,32.04,1021,0.00381667,64
Oncorhynchus,kisutch,54.75,-158.25,7515:248:3,524,6.91,32.06,1008,0.00069333,96
Oncorhynchus,kisutch,54.75,-129.75,7512:249:4,12,9.39,31.17,1879,0,0
Oncorhynchus,kisutch,54.75,-165.75,7516:245:4,256,6.26,32.02,713,0.00557917,88
Oncorhynchus,kisutch,54.75,-165.25,7516:245:3,126,6.26,32.02,744,0.03,64
Oncorhynchus,kisutch,54.75,-132.75,7513:142:4,137,9.45,31.81,1531,0,14
Oncorhynchus,kisutch,54.75,-132.25,7513:142:3,122,9.45,31.17,1604,0,12
Oncorhynchus,kisutch,54.75,-164.75,7516:144:4,55,6.31,31.89,799,0.05,11
