Mapping parameters for Mugil cephalus (Flathead grey mullet),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 384),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Mugil,cephalus,-29.25,153.25,3215:393:1,19,23.27,35.61,740,0,6
Mugil,cephalus,-29.25,114.25,3211:394:1,115,21.86,35.49,480,0,88
Mugil,cephalus,-28.75,32.25,3203:382:3,248,24.35,35.34,761,0,17
Mugil,cephalus,-28.75,167.75,3216:487:4,857,21.65,35.83,297,0,104
Mugil,cephalus,-28.75,154.25,3215:384:3,2877,23.4,35.59,423,0,73
Mugil,cephalus,-28.75,153.75,3215:383:4,219,23.57,35.59,532,0,21
Mugil,cephalus,-28.25,154.25,3215:384:1,2019,23.4,35.59,424,0,88
Mugil,cephalus,-28.25,153.75,3215:383:2,145,23.57,35.59,538,0,22
Mugil,cephalus,-28.25,153.25,3215:383:1,3,23.57,35.59,593,0,0
Mugil,cephalus,-28.25,32.25,3203:382:1,45,24.35,35.29,657,0,1
Mugil,cephalus,-27.75,-144.25,5214:374:3,2345,22.28,35.56,171,0,24
Mugil,cephalus,-27.75,153.75,3215:373:4,130,23.83,35.56,602,0,74
Mugil,cephalus,-27.75,32.75,3203:372:4,593,24.57,35.24,630,0,19
Mugil,cephalus,-27.25,153.75,3215:373:2,302,23.83,35.36,538,0,24
Mugil,cephalus,-27.25,153.25,3215:373:1,11,23.83,35.36,715,0,17
Mugil,cephalus,-26.75,153.25,3215:363:3,30,24.05,35.36,526,0,19
Mugil,cephalus,-26.75,33.75,3203:363:4,859,24.96,35.16,604,0,124
Mugil,cephalus,-26.25,153.25,3215:363:1,46,24.05,35.36,230,0,20
Mugil,cephalus,-26.25,32.75,3203:362:2,15,24.73,35.16,1491,0,8
Mugil,cephalus,-25.75,32.75,3203:352:4,23,24.88,35.16,1175,0,14
Mugil,cephalus,-25.25,47.25,3204:457:1,648,24.91,34.95,739,0,50
Mugil,cephalus,-25.25,153.25,3215:353:1,26,24.28,35.31,426,0,19
Mugil,cephalus,-25.25,152.75,3215:352:2,8,24.38,35.31,346,0,12
Mugil,cephalus,-24.75,152.25,3215:142:3,56,24.65,35.43,365,0,8
Mugil,cephalus,-24.75,113.75,3211:143:4,5,24.16,35.29,640,0,8
Mugil,cephalus,-24.25,151.75,3215:141:2,12,24.57,35.45,451,0,5
Mugil,cephalus,-23.25,43.75,3204:133:2,407,26.04,35.36,727,0,10
Mugil,cephalus,-23.25,113.75,3211:133:2,50,24.59,35.27,749,0,16
Mugil,cephalus,-22.75,150.75,3215:120:4,18,24.67,35.38,712,0,12
Mugil,cephalus,-22.75,150.25,3215:120:3,1,24.67,35.27,662,0,0
Mugil,cephalus,-22.25,151.25,3215:121:1,54,24.84,35.38,792,0,103
Mugil,cephalus,-21.75,114.25,3211:114:3,42,25.92,35.09,866,0,24
Mugil,cephalus,-21.75,113.75,3211:113:4,880,25.64,35.08,641,0,26
Mugil,cephalus,-21.25,55.75,3205:215:2,1318,25.41,35.11,236,0,16
Mugil,cephalus,-21.25,149.25,3214:219:1,13,24.86,35.11,267,0,12
Mugil,cephalus,-20.75,117.25,3211:207:3,6,26.74,35.06,838,0,9
Mugil,cephalus,-20.25,57.75,3205:207:2,1027,25.46,34.99,243,0,15
Mugil,cephalus,-20.25,55.25,3205:205:1,4082,25.63,35.11,217,0,108
Mugil,cephalus,-20.25,116.75,3211:206:2,31,26.66,35.02,739,0,85
Mugil,cephalus,-19.75,34.75,3103:394:4,13,26.24,35.06,1525,0,7
Mugil,cephalus,-19.75,119.25,3111:499:3,13,27.3,35.2,1125,0,25
Mugil,cephalus,-19.75,147.75,3114:497:4,19,26.01,35.02,437,0,14
Mugil,cephalus,-19.75,148.25,3114:498:3,28,25.88,35.02,174,0,24
Mugil,cephalus,-18.75,146.25,3114:486:3,33,26.29,34.99,420,0,10
Mugil,cephalus,-18.75,178.75,3117:488:4,1531,26.72,35.22,326,0,105
Mugil,cephalus,-18.25,178.25,3117:488:1,823,26.72,35.22,497,0,18
Mugil,cephalus,-17.75,-149.75,5114:479:4,2374,27.54,35.93,208,0,26
Mugil,cephalus,-17.75,155.25,3115:475:3,2575,26.61,35.15,242,0,458
Mugil,cephalus,-17.75,179.75,3117:479:4,2415,27.11,35.25,274,0,106
Mugil,cephalus,-17.25,11.75,3101:371:2,123,19,35.61,2550,0,16
Mugil,cephalus,-17.25,-76.75,5107:476:2,3869,20.3,35.14,606,0,321
Mugil,cephalus,-17.25,-76.25,5107:476:1,4165,20.3,35.14,669,0,282
Mugil,cephalus,-17.25,-71.75,5107:371:2,350,20.62,35.08,1661,0,19
Mugil,cephalus,-16.25,-146.25,5114:466:1,1364,27.79,36.1,213,0,26
Mugil,cephalus,-16.25,122.25,3112:362:1,110,28.22,34.7,1056,0,97
Mugil,cephalus,-15.75,11.75,3101:351:4,677,21.12,35.77,2360,0,22
Mugil,cephalus,-15.75,145.25,3114:455:3,8,26.74,35.04,489,0,7
Mugil,cephalus,-15.25,-75.25,5107:455:1,426,19.43,35.02,1756,0,18
Mugil,cephalus,-14.25,139.25,3113:249:1,95,28,34.29,879,0,276
Mugil,cephalus,-13.75,-76.25,5107:236:3,76,19.22,34.99,1594,0,15
Mugil,cephalus,-12.25,43.75,3104:123:2,1322,27.54,34.99,451,0,26
Mugil,cephalus,-12.25,-77.25,5107:227:1,173,19.72,35.04,1793,0,26
Mugil,cephalus,-8.75,13.25,3001:383:3,84,25.61,34,2016,0,19
Mugil,cephalus,-8.75,-78.75,5007:488:4,80,20.41,35.06,2300,0,18
Mugil,cephalus,-6.25,12.25,3001:362:1,33,25.65,31.02,2962,0,25
