Mapping parameters for Pseudocaranx dentex (White trevally),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 475),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pseudocaranx,dentex,-36.75,173.75,3317:363:4,867,17.42,35.54,428,0,89
Pseudocaranx,dentex,-36.75,172.25,3317:362:3,1772,17.27,35.5,381,0,187
Pseudocaranx,dentex,-36.75,136.75,3313:466:4,2330,16.32,35.59,495,0,100
Pseudocaranx,dentex,-36.75,176.25,3317:466:3,451,18.08,35.59,851,0,89
Pseudocaranx,dentex,-36.75,175.75,3317:465:4,32,17.85,35.54,740,0,14
Pseudocaranx,dentex,-36.75,175.25,3317:465:3,20,17.85,35.54,844,0,19
Pseudocaranx,dentex,-36.75,150.75,3315:360:4,4009,19.09,35.65,659,0,83
Pseudocaranx,dentex,-36.75,150.25,3315:360:3,399,19.09,35.65,856,0,22
Pseudocaranx,dentex,-36.75,149.75,3314:469:4,9,18.45,35.65,808,0,2
Pseudocaranx,dentex,-36.25,139.25,3313:469:1,51,16.11,35.65,747,0,67
Pseudocaranx,dentex,-36.25,174.75,3317:364:2,30,17.6,35.54,420,0,14
Pseudocaranx,dentex,-36.25,174.25,3317:364:1,15,17.6,35.54,473,0,13
Pseudocaranx,dentex,-36.25,138.75,3313:468:2,56,16.3,35.65,522,0,98
Pseudocaranx,dentex,-36.25,173.75,3317:363:2,395,17.42,35.54,481,0,21
Pseudocaranx,dentex,-36.25,138.25,3313:468:1,57,16.3,35.65,368,0,100
Pseudocaranx,dentex,-36.25,137.75,3313:467:2,56,16.34,35.61,298,0,90
Pseudocaranx,dentex,-36.25,175.75,3317:465:2,94,17.85,35.54,786,0,22
Pseudocaranx,dentex,-36.25,175.25,3317:465:1,42,17.85,35.54,617,0,21
Pseudocaranx,dentex,-36.25,150.75,3315:360:2,3450,19.09,35.65,689,0,67
Pseudocaranx,dentex,-36.25,150.25,3315:360:1,300,19.09,35.65,825,0,17
Pseudocaranx,dentex,-36.25,122.25,3312:362:1,5266,16.5,35.5,523,0,311
Pseudocaranx,dentex,-35.75,174.75,3317:354:4,72,18.12,35.61,638,0,22
Pseudocaranx,dentex,-35.75,174.25,3317:354:3,3,18.12,35.54,417,0,2
Pseudocaranx,dentex,-35.75,138.75,3313:458:4,33,16.78,35.65,547,0,22
Pseudocaranx,dentex,-35.75,138.25,3313:458:3,38,16.78,35.65,571,0,18
Pseudocaranx,dentex,-35.75,137.75,3313:457:4,14,16.8,35.61,262,0,15
Pseudocaranx,dentex,-35.75,173.75,3317:353:4,77,17.98,35.54,520,0,6
Pseudocaranx,dentex,-35.75,173.25,3317:353:3,335,17.98,35.52,492,0,22
Pseudocaranx,dentex,-35.75,175.75,3317:455:4,301,18.25,35.61,540,0,101
Pseudocaranx,dentex,-35.75,175.25,3317:455:3,175,18.25,35.61,637,0,90
Pseudocaranx,dentex,-35.75,150.75,3315:350:4,1722,19.56,35.59,733,0,68
Pseudocaranx,dentex,-35.75,150.25,3315:350:3,56,19.56,35.65,829,0,12
Pseudocaranx,dentex,-35.25,-138.25,5313:458:1,4447,17.04,34.82,207,0,1004
Pseudocaranx,dentex,-35.25,174.75,3317:354:2,234,18.12,35.66,605,0,91
Pseudocaranx,dentex,-35.25,174.25,3317:354:1,40,18.12,35.66,596,0,14
Pseudocaranx,dentex,-35.25,118.25,3311:458:1,503,17.91,35.68,616,0,89
Pseudocaranx,dentex,-35.25,117.75,3311:457:2,205,17.84,35.68,617,0,22
Pseudocaranx,dentex,-35.25,117.25,3311:457:1,387,17.84,35.68,616,0,22
Pseudocaranx,dentex,-35.25,173.75,3317:353:2,1,17.98,35.65,475,0,1
Pseudocaranx,dentex,-35.25,116.75,3311:456:2,336,17.96,35.68,606,0,89
Pseudocaranx,dentex,-35.25,173.25,3317:353:1,72,17.98,35.65,590,0,12
Pseudocaranx,dentex,-35.25,172.75,3317:352:2,315,17.83,35.52,498,0,91
Pseudocaranx,dentex,-35.25,153.75,3315:353:2,4870,20.15,35.61,563,0,299
Pseudocaranx,dentex,-35.25,151.25,3315:351:1,2277,19.98,35.59,678,0,84
Pseudocaranx,dentex,-35.25,150.75,3315:350:2,184,19.56,35.59,796,0,20
Pseudocaranx,dentex,-35.25,150.25,3315:350:1,9,19.56,35.59,809,0,1
Pseudocaranx,dentex,-34.75,136.75,3313:246:4,36,17.09,35.7,484,0,91
Pseudocaranx,dentex,-34.75,136.25,3313:246:3,18,17.09,35.7,360,0,23
Pseudocaranx,dentex,-34.75,117.75,3311:247:4,1,18.42,35.68,565,0,0
Pseudocaranx,dentex,-34.75,173.75,3317:143:4,227,18.46,35.65,658,0,21
Pseudocaranx,dentex,-34.75,173.25,3317:143:3,58,18.46,35.65,496,0,19
Pseudocaranx,dentex,-34.75,172.75,3317:142:4,87,18.32,35.61,471,0,21
